                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0708,                0.75877,                  1.088,                0.89561,                0.85624,                0.91804,                0.65375,                 0.9682,                0.60593,                0.89108,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0706,                0.76244,                 1.0816,                0.91765,                0.83851,                0.91866,                0.64013,                 1.0183,                0.59005,                0.89351,               0.000614,               0.000614,               0.000614
                     37,                 1.0601,                0.74157,                 1.0771,                0.91393,                0.84357,                0.91824,                0.65568,                0.96589,                0.58518,                0.89085,              0.0005744,              0.0005744,              0.0005744
                     38,                  1.067,                0.74057,                  1.083,                0.90107,                0.84674,                0.91529,                0.65201,                0.97365,                 0.5894,                0.89402,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0608,                 0.7331,                 1.0726,                0.91361,                0.85062,                0.91852,                0.64947,                0.98368,                0.57739,                 0.8902,              0.0004952,              0.0004952,              0.0004952
                     40,                  1.044,                0.72283,                 1.0737,                0.91865,                0.85105,                0.92511,                0.65382,                0.96937,                0.57484,                0.88979,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0004,                0.61225,                 1.0429,                0.91585,                0.84775,                0.92425,                0.65717,                0.96124,                0.56965,                0.88731,               0.000416,               0.000416,               0.000416
                     42,                0.99148,                0.59181,                 1.0414,                0.90434,                 0.8651,                0.92833,                0.65948,                0.96811,                0.57046,                0.88914,              0.0003764,              0.0003764,              0.0003764
                     43,                0.97741,                0.58619,                 1.0331,                0.91118,                0.85108,                0.92208,                0.65882,                0.96227,                0.57041,                0.88835,              0.0003368,              0.0003368,              0.0003368
                     44,                0.97681,                0.57745,                 1.0336,                0.92683,                0.83977,                 0.9255,                0.66091,                0.97018,                0.57093,                0.88898,              0.0002972,              0.0002972,              0.0002972
                     45,                0.96726,                0.57214,                 1.0297,                0.92201,                0.85244,                0.92452,                0.66341,                0.94877,                0.55887,                 0.8845,              0.0002576,              0.0002576,              0.0002576
                     46,                0.95364,                0.57031,                 1.0192,                0.91366,                 0.8689,                0.92878,                 0.6659,                0.95229,                0.55687,                0.88279,               0.000218,               0.000218,               0.000218
                     47,                0.95045,                0.55468,                 1.0218,                0.89308,                0.87714,                0.93044,                0.66944,                0.94896,                0.55415,                0.88441,              0.0001784,              0.0001784,              0.0001784
                     48,                0.93544,                0.54669,                 1.0172,                0.92036,                0.85877,                0.93021,                0.67189,                0.94572,                0.54129,                0.88097,              0.0001388,              0.0001388,              0.0001388
                     49,                0.93664,                0.52751,                 1.0067,                0.94124,                0.84195,                0.93036,                0.67162,                0.94049,                0.53698,                0.88003,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.9321,                0.53811,                 1.0059,                0.90873,                 0.8746,                0.93037,                0.67116,                0.94183,                0.53683,                0.88292,               5.96e-05,               5.96e-05,               5.96e-05
